Designator,Mid X,Mid Y,Rotation,Layer
C1,179.0,-89.25,270.0,top
C10,166.5,-100.5,270.0,top
C11,176.0,-92.25,0.0,top
C12,161.73,-93.75,180.0,top
C13,163.5,-89.27,90.0,top
C14,165.5,-89.27,90.0,top
C15,169.48,-100.25,180.0,top
C16,164.5,-89.27,90.0,top
C17,198.75,-95.5,270.0,top
C18,196.85,-102.75,180.0,top
C19,203.6,-101.75,270.0,top
C2,178.5,-94.5,0.0,top
C20,198.186,-91.0,180.0,top
C21,191.25,-94.52,90.0,top
C22,187.25,-89.5,0.0,top
C23,206.75,-92.25,0.0,top
C24,206.65,-86.75,0.0,top
C25,184.0,-99.25,0.0,top
C26,181.23,-93.75,0.0,top
C3,178.27,-100.0,0.0,top
C4,158.25,-90.5,0.0,top
C5,159.0,-88.25,0.0,top
C6,161.75,-94.75,180.0,top
C7,176.23,-94.25,0.0,top
C8,161.73,-90.75,180.0,top
C9,170.0,-89.27,90.0,top
D1,150.5,-93.55,0.0,top
IC1,198.0,-99.1,0.0,top
IC2,189.455,-99.96,0.0,top
IC3,200.9,-88.25,180.0,top
IC4,193.812,-89.5,90.0,top
IC5,182.0,-88.8,0.0,top
J1,211.8875,-95.0,0.0,top
J2,135.55,-95.377,180.0,top
L1,200.1,-102.75,180.0,top
L2,188.25,-93.75,180.0,top
L3,182.75,-101.85,270.0,top
L4,182.75,-96.85,270.0,top
R1,179.0,-91.5,180.0,top
R2,161.73,-92.75,180.0,top
R3,161.73,-91.75,0.0,top
R4,175.26,-96.151,180.0,top
R5,162.74,-102.5,180.0,top
R6,187.25,-91.75,90.0,top
R7,182.75,-91.5,180.0,top
SW1,170.25,-102.75,0.0,top
U1,169.05,-95.0625,180.0,top
U2,155.25,-99.0,0.0,top
U3,153.5,-88.25,180.0,top
Y1,178.151,-97.151,270.0,top
Y2,206.75,-89.5,270.0,top
